#Digilent WaveForms Impedance Analyzer
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 3000 Hz
#Steps: 2001
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X

Frequency (Hz)	Trace < (deg)	Trace th (deg)	Trace |Z| (Ohm)	Trace Rs (Ohm)	Trace Xs (Ohm)
1029.541158342548	-89.4364534902799	-89.46194720610599	24393.88224347695	229.0745268759406	-24392.80663986325
1030.106846980568	-89.37072599474092	-89.39623371826681	24404.54863833267	257.1632852921924	-24403.19366979336
1030.672846440194	-89.43653101119564	-89.46205275011795	24374.06936811755	228.8435737406328	-24372.99505970828
1031.239156892208	-89.4174617950094	-89.442997557029	24336.94853509497	236.5885652234998	-24335.79852502618
1031.805778507486	-89.37512799938001	-89.40067779220196	24336.19341913323	254.5554894609211	-24334.86206322627
1032.372711457	-89.42171229169797	-89.44727612303161	24327.4728635776	234.67987827469	-24326.34089383025
1032.939955911816	-89.4150878698478	-89.44066574740668	24291.53534294405	237.1356506765638	-24290.37784804259
1033.50751204309	-89.43787921712172	-89.46347114862367	24259.3893122622	227.1663318212179	-24258.32568957693
1034.075380022077	-89.40030414748891	-89.42591014065592	24232.35298462066	242.7982559909641	-24231.13658452986
1034.643560020123	-89.36079752565247	-89.38641758821083	24232.66872082238	259.5034965265081	-24231.27919174747
1035.212052208669	-89.41652201050222	-89.44215615018244	24190.44874309147	235.519613700241	-24189.30219960258
1035.780856759251	-89.38744266479883	-89.41309088933571	24194.95792291685	247.8366298944863	-24193.6885550054
1036.349973843498	-89.38052579835582	-89.40618811548836	24174.33111511313	250.5376182420309	-24173.03282099646
1036.919403633133	-89.39663008195933	-89.42230649943082	24169.7690272092	243.6912809698339	-24168.54048940937
1037.489146299976	-89.36925897945018	-89.39494950500814	24126.24015919507	254.7713350758056	-24124.89493834078
1038.059202015938	-89.36545555346609	-89.39116019486228	24125.22927966126	256.3561154177921	-24123.86721357736
1038.629570953027	-89.45488159138849	-89.480600356379	24098.17315396338	218.4525845166978	-24097.18298529352
1039.200253283344	-89.38047572005665	-89.40620861640174	24055.53311781562	249.2978142930075	-24054.24129300512
1039.771249179085	-89.42703761888399	-89.45278465434825	24036.63784502261	229.5634553761513	-24035.54158975264
1040.342558812542	-89.31656941398568	-89.34233059633794	24019.54197538997	275.7021737769777	-24017.95963480028
1040.914182356099	-89.384907407084	-89.41068274409737	24010.25802903303	246.9537897874324	-24008.98799296744
1041.486119982236	-89.41859648374297	-89.44438598319483	23998.76306072593	232.7194127274215	-23997.63467760527
1042.058371863529	-89.4386213239799	-89.46442499365189	23966.46144415248	224.0243683670414	-23965.41439734404
1042.630938172648	-89.39220124630572	-89.41801909398379	23926.76348151617	243.031514000456	-23925.52917666855
1043.203819082355	-89.35753913803403	-89.38337117150834	23930.49081035218	257.5398359859149	-23929.10494893678
1043.777014765513	-89.39354471580084	-89.41939094286589	23922.62995571126	242.4167717596158	-23921.4016752084
1044.350525395073	-89.35208331861837	-89.37794374707291	23873.26446557571	259.1852632243155	-23871.85747365812
1044.924351144088	-89.46814078382212	-89.49401542146923	23874.68058910063	210.8368762840209	-23873.74962261222
1045.498492185699	-89.33155885171422	-89.35744770636121	23854.71416203266	267.5167374770948	-23853.21409260084
1046.072948693149	-89.36656689040997	-89.3924699698685	23797.33742005589	252.3279433138464	-23795.99964054915
1046.647720839771	-89.31908804260355	-89.34500535468952	23789.91430623162	271.9559314727053	-23788.3598146064
1047.222808798996	-89.43252385078597	-89.45845540331959	23780.49681269858	224.7636373786676	-23779.43460148033
1047.798212744349	-89.38694054518244	-89.41288634598823	23772.66127028507	243.5957741812648	-23771.41318833427
1048.373932849451	-89.35997236826964	-89.38593242517641	23745.12679618269	254.483548496913	-23743.76306928491
1048.949969288018	-89.40064814438146	-89.42662246522231	23709.45683294649	237.2642997419307	-23708.26963245992
1049.526322233862	-89.31772772933196	-89.3437163219443	23690.91235957748	271.3571444344327	-23689.35823802209
1050.10299186089	-89.44070541050125	-89.46670828272684	23688.40441232752	220.4812915172485	-23687.37831846464
1050.679978343104	-89.42847358192942	-89.45449074161425	23654.91007026619	225.2134032663381	-23653.8379413441
1051.257281854604	-89.37808238935017	-89.40411384434459	23644.72955214896	245.9049011804546	-23643.45081357292
1051.834902569582	-89.34270154137026	-89.36874729952895	23615.83642237545	260.1807507338881	-23614.40314522776
1052.412840662329	-89.41058294127116	-89.43664301045307	23600.76795087755	232.0492620509393	-23599.62713712127
1052.99109630723	-89.38508341912363	-89.41115780719205	23587.64173525904	242.4114707672673	-23586.39606446425
1053.569669678767	-89.33715135442793	-89.36324006925047	23557.13587966013	261.7981910349109	-23555.68111008343
1054.148560951516	-89.38366829404211	-89.40977134349072	23554.49860255253	242.6408069823358	-23553.24881744419
1054.72777030015	-89.35831203144055	-89.38442942339147	23521.16929847879	252.700309287151	-23519.81181305215
1055.30729789944	-89.37269971699681	-89.39883145933062	23497.68674633577	246.5419090623444	-23496.39332995597
1055.887143924248	-89.37554301899391	-89.40168911959556	23486.4437082422	245.2526092653487	-23485.16317205563
1056.467308549538	-89.37771591340756	-89.40387638016625	23447.22670050858	243.9480464320084	-23445.95763230166
1057.047791950365	-89.35146249483311	-89.37763733564245	23429.89584473657	254.4970288997556	-23428.51362245342
1057.628594301885	-89.35205004162121	-89.3782392643791	23429.76461559223	254.2494733544886	-23428.38507339669
1058.209715779345	-89.32364546282723	-89.34984907543596	23412.45235192965	265.6618169199133	-23410.94506700674
1058.791156558093	-89.34826557481175	-89.37448358517791	23363.6257286069	255.0631341497973	-23362.23341172714
1059.37291681357	-89.31346747044338	-89.33969988647792	23338.73058242179	268.9591706074683	-23337.18076725242
1059.954996721315	-89.35817628676094	-89.38442311637911	23354.75105981973	250.9149612034183	-23353.40315132669
1060.537396456964	-89.39855225663212	-89.42481350775364	23323.7150909613	234.1404663693519	-23322.53982494926
1061.120116196248	-89.33514833880639	-89.36142401935521	23293.15209754338	259.6027077198204	-23291.70541358949
1061.703156114995	-89.39665405527238	-89.42294417317683	23266.19017044847	234.3220346048458	-23265.01017045923
1062.286516389132	-89.28785194731998	-89.31415651051279	23293.02431475971	278.8161310755721	-23291.35554863733
1062.870197194677	-89.33195475371782	-89.35827377013602	23223.88079863567	260.1074983769066	-23222.42415077562
1063.454198707751	-89.36995333053365	-89.3962868081187	23225.20789144972	244.7144459505241	-23223.9186280223
1064.038521104568	-89.35841242136219	-89.38476036805987	23194.93733600396	249.0614595540779	-23193.60011750042
1064.623164561439	-89.38125239876948	-89.40761482252994	23187.68878415396	239.7349077242433	-23186.44945490356
1065.208129254774	-89.29830033233281	-89.32467724111056	23178.7758675326	273.1927651346078	-23177.16584119788
1065.793415361079	-89.33847094660042	-89.36486234835435	23145.47610630359	256.5679774881419	-23144.05403252416
1066.379023056955	-89.36967698222585	-89.39608288491924	23110.73454675073	243.59053705447	-23109.45077107275
1066.964952519103	-89.41192926846816	-89.43834968006863	23099.18672943257	226.4295546834258	-23098.07691601099
1067.55120392432	-89.35387994076412	-89.3803148692437	23081.88645448464	249.6383344058745	-23080.53645389805
1068.137777449498	-89.35943544892669	-89.38588490226178	23057.32820340104	247.1313308756416	-23056.0037730881
1068.724673271629	-89.35704693197124	-89.3835109181426	23025.40341381438	247.7431328350931	-23024.07057209971
1069.311891567802	-89.32570834093221	-89.35218686792504	23014.72592990158	260.209812313422	-23013.25488673995
1069.899432515203	-89.38019992155809	-89.40669299736193	22984.49541099737	238.0038893730093	-22983.26311572842
1070.487296291114	-89.4095277202521	-89.4360353528609	22964.46582307509	226.0365047153329	-22963.3533709195
1071.075483072914	-89.36912044496596	-89.39564264237804	22951.23302812994	242.0857077871704	-22949.95625315237
1071.663993038084	-89.35663411549191	-89.38317088571003	22927.80884034419	246.8291199454915	-22926.48018351078
1072.252826364197	-89.36083247746549	-89.38738382849674	22906.70694847806	244.9177208462565	-22905.39758514287
1072.841983228927	-89.3801547716631	-89.406720711519	22879.75897282886	236.9082796889956	-22878.53240751595
